group,system,display_label,time_ps,OPA_disp_norm_A,source_workbook,source_sheet,color_hex
group2,acetone,acetone,0.0,0.0,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.1,0.8157104639865743,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.2,0.622015601025942,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.3,0.8251398246699327,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.4,0.9656720931845248,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.5,1.176160848028902,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.6,1.606469281952495,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.7,1.959592595818071,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.8,2.022343404416706,group2.xlsx,acetone,#31d870
group2,acetone,acetone,0.9,2.245960051282877,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.0,2.435725871457127,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.1,2.280694562497632,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.2,1.989103798277626,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.3,1.918326277671776,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.4,2.305765336381456,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.5,2.026796514081933,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.6,2.136211100647093,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.7,2.21605312981186,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.8,1.860633099105362,group2.xlsx,acetone,#31d870
group2,acetone,acetone,1.9,2.162313907382362,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.0,2.138384149116506,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.1,2.179067277495875,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.2,2.343732925620851,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.3,2.483780611073369,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.4,2.027327769149246,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.5,2.778272490568048,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.6,2.434364801632967,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.7,2.635538053562779,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.8,2.833253040388993,group2.xlsx,acetone,#31d870
group2,acetone,acetone,2.9,2.846399240006503,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.0,3.135445914285433,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.1,2.721410239366463,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.2,3.21407165206558,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.3,3.601016563078441,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.4,3.603909074303655,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.5,3.595851205850659,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.6,3.130159545674553,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.7,3.416414714075935,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.8,3.601663726240653,group2.xlsx,acetone,#31d870
group2,acetone,acetone,3.9,4.062544780020223,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.0,4.290585129036463,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.1,4.068173720140756,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.2,4.351394077786993,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.3,3.800338081379258,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.4,3.861133854268308,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.5,3.967848064383595,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.6,4.093553917089594,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.7,3.712017754575256,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.8,3.725143173123341,group2.xlsx,acetone,#31d870
group2,acetone,acetone,4.9,3.534311762482095,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.0,3.637297936980333,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.1,3.713011371202251,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.2,3.307126790287317,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.3,3.179540879880044,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.4,3.034459702214185,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.5,3.247072976180244,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.6,3.024673314332685,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.7,2.829922920369459,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.8,2.40798625585643,group2.xlsx,acetone,#31d870
group2,acetone,acetone,5.9,2.822463131550141,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.0,3.362921035497795,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.1,3.754778443852243,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.2,3.786090182445727,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.3,3.871717260506751,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.4,3.799345670154614,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.5,3.967159517398154,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.6,4.203114721455249,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.7,4.091714155131825,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.8,3.908233317999715,group2.xlsx,acetone,#31d870
group2,acetone,acetone,6.9,3.48116709310089,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.0,3.435103595152371,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.1,3.744958089923487,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.2,3.706252304466916,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.3,3.818585511342348,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.4,3.868921905209563,group2.xlsx,acetone,#31d870
group2,acetone,acetone,7.5,3.811775906483602,group2.xlsx,acetone,#31d870
