group,system,display_label,curve_id,color_hex,marker,alpha,K_alpha_A2_ps_minus_alpha,alpha_fit_r2,alpha_fit_tau_min_ps,alpha_fit_tau_max_ps,alpha_fit_n_points
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.650490947002435,0.9954162864012376,0.1999999999999999,3.2999999999999994,32
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,group1 | acetone 1% / n-heptane 99%,#4731d8,s,0.8600190614488404,1.580442772734287,0.9963673720089932,0.1999999999999999,3.2999999999999994,32
group1,acetone_20_n-heptane_80,acetone 20% / n-heptane 80%,group1 | acetone 20% / n-heptane 80%,#2ca314,^,0.9661619737206312,1.3656329100325677,0.9889257770564808,0.1999999999999999,3.2999999999999994,32
group1,acetone_30_n-heptane_70,acetone 30% / n-heptane 70%,group1 | acetone 30% / n-heptane 70%,#b42265,D,0.4501204841953662,1.1270122106385596,0.9135619073669016,0.1999999999999999,3.2999999999999994,32
group1,acetone_40_n-heptane_60,acetone 40% / n-heptane 60%,group1 | acetone 40% / n-heptane 60%,#25b4e4,P,0.7439544191437494,1.0307302675154804,0.9877647423758186,0.1999999999999999,3.2999999999999994,32
group1,acetone_50_n-heptane_50,acetone 50% / n-heptane 50%,group1 | acetone 50% / n-heptane 50%,#9a951d,X,0.8070393664642157,1.4169785079704296,0.9952118393080208,0.1999999999999999,3.2999999999999994,32
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,group1 | acetone 5% / n-heptane 95%,#8718bf,v,0.8605630299921845,1.9843395971489668,0.9942012760545677,0.1999999999999999,3.2999999999999994,32
group2,acetone,acetone,group2 | acetone,#31d870,<,0.8760379043176044,1.693939872067197,0.9974027359398374,0.1999999999999999,3.2999999999999994,32
group2,acetonitrile,acetonitrile,group2 | acetonitrile,#a32014,>,0.8608202739580344,1.479107714870736,0.975424316622278,0.1999999999999999,3.2999999999999994,32
group2,CPME,CPME,group2 | CPME,#2240b4,p,1.1049531850824934,1.573124513984106,0.9943501800023612,0.1999999999999999,3.2999999999999994,32
group2,cyclohexane,cyclohexane,group2 | cyclohexane,#84e425,h,0.6273103828638106,0.918854535395773,0.9714916365927796,0.1999999999999999,3.2999999999999994,32
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087389,0.9951585885142914,0.1999999999999999,3.2999999999999994,32
group2,ethanol,ethanol,group2 | ethanol,#18bfb1,*,0.8601142489774621,1.2075873400077173,0.98547868943003,0.1999999999999999,3.2999999999999994,32
group2,ethyl_acetate,ethyl acetate,group2 | ethyl acetate,#d89a31,o,0.5924181229462459,1.0197460855607472,0.9919102416631362,0.1999999999999999,3.2999999999999994,32
group2,isopropanol,isopropanol,group2 | isopropanol,#4414a3,s,0.4635155971588831,0.9390095023212008,0.8822515615011541,0.1999999999999999,3.2999999999999994,32
group2,methanol,methanol,group2 | methanol,#22b429,^,0.6731622614919341,1.014922072315232,0.964510948683507,0.1999999999999999,3.2999999999999994,32
group2,n-heptane,n-heptane,group2 | n-heptane,#e42555,D,0.9057233555692672,1.7224994802851157,0.9913806540264436,0.1999999999999999,3.2999999999999994,32
group2,p-xylene,p-xylene,group2 | p-xylene,#1d619a,P,0.4065437191796157,0.7182447968601144,0.791926972857065,0.1999999999999999,3.2999999999999994,32
group2,propylene_carbonate,propylene carbonate,group2 | propylene carbonate,#a3bf18,X,0.4250559171208642,0.4895739834541183,0.9461818479479046,0.1999999999999999,3.2999999999999994,32
group2,thf,THF,group2 | THF,#c331d8,v,0.6939923730464042,1.154548714572717,0.9941938303704002,0.1999999999999999,3.2999999999999994,32
group2,toluene,toluene,group2 | toluene,#14a368,<,0.8920199874148612,1.100887229057881,0.9959873269687466,0.1999999999999999,3.2999999999999994,32
group3,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,group3 | acetone 5% / n-heptane 95%,#8718bf,v,0.8605630299921845,1.9843395971489668,0.9942012760545677,0.1999999999999999,3.2999999999999994,32
group3,isopropanol_5_n-heptane_95,isopropanol 5% / n-heptane 95%,group3 | isopropanol 5% / n-heptane 95%,#b44d22,>,0.8205314046931146,1.578044546113582,0.99024582050703,0.1999999999999999,3.2999999999999994,32
group3,thf_n-heptane,THF 5% / n-heptane 95%,group3 | THF 5% / n-heptane 95%,#2525e4,p,0.5164957724905552,0.9573627264490244,0.9846820254080548,0.1999999999999999,3.2999999999999994,32
group3,thf_toluene,THF 5% / toluene 95%,group3 | THF 5% / toluene 95%,#429a1d,h,0.6971447479005624,0.8785751883746014,0.9905320900850662,0.1999999999999999,3.2999999999999994,32
group3,toluene_n-heptane,toluene 5% / n-heptane 95%,group3 | toluene 5% / n-heptane 95%,#bf1879,8,0.9188390738802592,1.1359733314465252,0.994370476841959,0.1999999999999999,3.2999999999999994,32
