group,system,display_label,color_hex,marker,mean_force_eV_A,max_disp_A
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,#4731d8,s,0.3970880429398276,2.86048993566022
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,#bf5e18,o,0.4799092818695466,3.949019018686989
group1,acetone_20_n-heptane_80,acetone 20% / n-heptane 80%,#2ca314,^,0.5062904849141945,3.5173375813575527
group1,acetone_30_n-heptane_70,acetone 30% / n-heptane 70%,#b42265,D,0.5024216661844975,2.3958818563117306
group1,acetone_40_n-heptane_60,acetone 40% / n-heptane 60%,#25b4e4,P,0.5419447388055055,2.56225441783222
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,#8718bf,v,0.4210890606993691,5.36171276064315
group1,acetone_50_n-heptane_50,acetone 50% / n-heptane 50%,#9a951d,X,0.5322945159991901,2.2639895235949767
group2,CPME,CPME,#2240b4,p,0.5674654824155313,5.349184294070719
group2,DMC,DMC,#9a1d80,8,0.5884815952952744,5.306819378026463
group2,thf,THF,#c331d8,v,0.6074634853726448,2.1867095397027483
group2,acetone,acetone,#31d870,<,0.5265452388876982,4.351394077786993
group2,acetonitrile,acetonitrile,#a32014,>,0.5173517645674222,3.778569244864682
group2,cyclohexane,cyclohexane,#84e425,h,0.4093160709810041,2.854874657597128
group2,ethanol,ethanol,#18bfb1,*,0.7165139088653408,3.716642856292872
group2,ethyl_acetate,ethyl acetate,#d89a31,o,0.5447471699582865,2.3493684863744098
group2,isopropanol,isopropanol,#4414a3,s,0.7066510662403235,2.5900573909705
group2,methanol,methanol,#22b429,^,0.6371205032700523,2.4908795030457336
group2,n-heptane,n-heptane,#e42555,D,0.4340910736816913,7.127363925937251
group2,p-xylene,p-xylene,#1d619a,P,0.5378104167932858,2.089050144870105
group2,propylene_carbonate,propylene carbonate,#a3bf18,X,0.6049072511986678,1.71348370777787
group2,toluene,toluene,#14a368,<,0.4368200418610099,4.827873487595866
group3,thf_n-heptane,THF 5% / n-heptane 95%,#2525e4,p,0.5345585814681749,2.17273435788069
group3,thf_toluene,THF 5% / toluene 95%,#429a1d,h,0.4059122888877715,2.448440099250293
group3,isopropanol_5_n-heptane_95,isopropanol 5% / n-heptane 95%,#b44d22,>,0.4524177481709493,3.6512837568046144
group3,toluene_n-heptane,toluene 5% / n-heptane 95%,#bf1879,8,0.4348592718208002,3.444576189964684
