group,system,points_outside_view,total_points,end_outside_view,maximum_absolute_coordinate_A
group1,acetone_10_n-heptane_90,0,101,False,2.7020029852043663
group1,acetone_1_n-heptane_99,0,101,False,2.3740749593357435
group1,acetone_20_n-heptane_80,0,101,False,2.9016560734979393
group1,acetone_30_n-heptane_70,0,101,False,2.124318244729441
group1,acetone_40_n-heptane_60,0,101,False,2.01296775234659
group1,acetone_50_n-heptane_50,0,101,False,1.7906446024935825
group1,acetone_5_n-heptane_95,1,101,False,4.039186025171784
group2,acetone,0,101,False,3.7546196055571883
group2,acetonitrile,0,101,False,3.2669491317720514
group2,CPME,10,101,False,4.4794082153605785
group2,cyclohexane,0,101,False,2.68297460464008
group2,DMC,40,101,True,5.0458196006736
group2,ethanol,0,101,False,3.158281182255415
group2,ethyl_acetate,0,101,False,1.9856201548741268
group2,isopropanol,0,101,False,2.5069363044012434
group2,methanol,0,101,False,1.8683800062462588
group2,n-heptane,70,101,True,6.902028005770504
group2,p-xylene,0,101,False,2.0702370733112723
group2,propylene_carbonate,0,101,False,1.3469179376732718
group2,thf,0,101,False,2.1335935575475347
group2,toluene,14,101,True,4.5388389557115545
group3,acetone_5_n-heptane_95,1,101,False,4.039186025171784
group3,isopropanol_5_n-heptane_95,0,101,False,3.45989776929234
group3,thf_n-heptane,0,101,False,1.6636637398864877
group3,thf_toluene,0,101,False,2.1696066348748637
group3,toluene_n-heptane,0,101,False,3.257328466603493
