group,system,alpha_verified,K_alpha_verified,max_TAMSD_error_A2
group1,acetone_10_n-heptane_90,0.8901040222908216,1.650490947002435,1.7763568394002505e-15
group1,acetone_1_n-heptane_99,0.8600190614488404,1.5804427727342867,1.7763568394002505e-15
group1,acetone_20_n-heptane_80,0.9661619737206312,1.3656329100325675,8.881784197001252e-16
group1,acetone_30_n-heptane_70,0.45012048419536627,1.1270122106385596,1.1102230246251565e-15
group1,acetone_40_n-heptane_60,0.7439544191437495,1.0307302675154804,6.661338147750939e-16
group1,acetone_50_n-heptane_50,0.8070393664642157,1.4169785079704296,8.881784197001252e-16
group1,acetone_5_n-heptane_95,0.8605630299921847,1.9843395971489668,1.3322676295501878e-15
group2,acetone,0.8760379043176042,1.693939872067197,1.7763568394002505e-15
group2,acetonitrile,0.8608202739580344,1.4791077148707361,8.881784197001252e-16
group2,CPME,1.1049531850824934,1.5731245139841061,1.3322676295501878e-15
group2,cyclohexane,0.6273103828638105,0.9188545353957729,1.7763568394002505e-15
group2,DMC,1.030536142112352,1.3101107459087384,1.7763568394002505e-15
group2,ethanol,0.8601142489774622,1.207587340007717,4.440892098500626e-16
group2,ethyl_acetate,0.592418122946246,1.019746085560747,6.661338147750939e-16
group2,isopropanol,0.46351559715888335,0.9390095023212007,8.881784197001252e-16
group2,methanol,0.6731622614919345,1.0149220723152317,8.881784197001252e-16
group2,n-heptane,0.9057233555692675,1.722499480285115,8.881784197001252e-16
group2,p-xylene,0.4065437191796157,0.7182447968601144,8.881784197001252e-16
group2,propylene_carbonate,0.4250559171208642,0.48957398345411834,3.885780586188048e-16
group2,thf,0.6939923730464042,1.154548714572717,8.881784197001252e-16
group2,toluene,0.8920199874148612,1.100887229057881,4.440892098500626e-16
group3,acetone_5_n-heptane_95,0.8605630299921847,1.9843395971489668,1.3322676295501878e-15
group3,isopropanol_5_n-heptane_95,0.8205314046931148,1.578044546113582,2.220446049250313e-15
group3,thf_n-heptane,0.5164957724905552,0.9573627264490244,8.881784197001252e-16
group3,thf_toluene,0.6971447479005626,0.8785751883746012,1.1102230246251565e-15
group3,toluene_n-heptane,0.9188390738802593,1.1359733314465252,8.881784197001252e-16
